date,rf_returns
14/03/2003,3.141646003279597e-05
17/03/2003,3.2003227476984364e-05
18/03/2003,3.199240770990208e-05
19/03/2003,3.200117950852288e-05
20/03/2003,3.228420949330513e-05
21/03/2003,3.2547622814016464e-05
24/03/2003,3.255635783205868e-05
25/03/2003,3.2839324316302765e-05
26/03/2003,3.255422889125725e-05
27/03/2003,3.255316914785311e-05
28/03/2003,3.169032077510181e-05
30/03/2003,3.3119057016861575e-05
31/03/2003,3.168826704502692e-05
04/04/2003,3.2000610400872986e-05
07/04/2003,3.283188897817979e-05
08/04/2003,3.284060255448473e-05
09/04/2003,3.2555580674165085e-05
10/04/2003,3.255452084283128e-05
10/04/2003,3.199540174758653e-05
11/04/2003,3.256220975411672e-05
14/04/2003,3.255135960866795e-05
15/04/2003,3.2276192262203907e-05
16/04/2003,3.169758491328167e-05
17/04/2003,3.113861076031732e-05
18/04/2003,3.1137641177458875e-05
20/04/2003,3.199804452691524e-05
21/04/2003,3.141952780616464e-05
22/04/2003,3.113469713689199e-05
23/04/2003,3.114351520028258e-05
24/04/2003,3.0858719474613494e-05
25/04/2003,3.08577672434307e-05
28/04/2003,3.114062339237833e-05
29/04/2003,3.113965368428673e-05
30/04/2003,3.086467927415626e-05
30/04/2003,3.199885422566773e-05
05/05/2003,2.9443875066759162e-05
06/05/2003,2.9726772602600704e-05
07/05/2003,2.9999860274632084e-05
08/05/2003,2.9157502193122298e-05
09/05/2003,2.945017540056938e-05
10/05/2003,2.9752606635735646e-05
12/05/2003,2.943864841364885e-05
13/05/2003,2.7471349720364913e-05
14/05/2003,2.435960887270383e-05
15/05/2003,2.6922092629222405e-05
16/05/2003,2.6637676109997344e-05
19/05/2003,2.7752138868741838e-05
20/05/2003,2.9717538998053072e-05
20/05/2003,2.8034211911442952e-05
21/05/2003,2.9158284352792663e-05
22/05/2003,2.8619474131907907e-05
23/05/2003,3.1132323692117936e-05
26/05/2003,3.1141135008017073e-05
27/05/2003,3.227466877619989e-05
28/05/2003,3.284086060273417e-05
29/05/2003,3.2272567296764976e-05
30/05/2003,3.2281305061943044e-05
04/06/2003,3.086231750049073e-05
05/06/2003,3.0861365047263334e-05
06/06/2003,3.169157078830587e-05
09/06/2003,3.1416781872906085e-05
10/06/2003,3.1142018899421586e-05
11/06/2003,3.0583736765565916e-05
12/06/2003,2.8324288919634455e-05
13/06/2003,2.522423045436817e-05
16/06/2003,2.5507115228862176e-05
17/06/2003,2.6630743449329586e-05
18/06/2003,2.6063021794309194e-05
19/06/2003,2.2689683801591087e-05
20/06/2003,2.2386125372753085e-05
20/06/2003,3.200459990360116e-05
23/06/2003,2.297141196061503e-05
24/06/2003,2.2110697981636562e-05
25/06/2003,2.5218540893989783e-05
26/06/2003,2.325325420216018e-05
27/06/2003,2.1835461101460396e-05
30/06/2003,2.2108654674335426e-05
30/06/2003,3.199917556684362e-05
04/07/2003,2.380803220058958e-05
07/07/2003,2.4941154219915163e-05
08/07/2003,2.4950305110182924e-05
09/07/2003,2.4666274540674493e-05
10/07/2003,2.2105283988604896e-05
10/07/2003,2.4391498323783622e-05
11/07/2003,2.439090339301231e-05
14/07/2003,2.407761222866789e-05
15/07/2003,2.437017819922893e-05
16/07/2003,2.4076445763965282e-05
17/07/2003,2.2971737502874845e-05
18/07/2003,2.297120981431533e-05
20/07/2003,2.1837292473625425e-05
21/07/2003,2.3527092619657353e-05
22/07/2003,2.3526539108642552e-05
23/07/2003,2.4366199395720045e-05
24/07/2003,2.4942017381013315e-05
25/07/2003,2.5498253706679463e-05
28/07/2003,2.664059958412679e-05
29/07/2003,2.6053753690247206e-05
30/07/2003,2.407980114482733e-05
30/07/2003,2.4675096575776934e-05
31/07/2003,2.4381441557919104e-05
04/08/2003,2.4947389237972573e-05
05/08/2003,2.494676688136188e-05
06/08/2003,2.436009574080522e-05
07/08/2003,2.4994373091669075e-05
08/08/2003,2.5003515386812225e-05
10/08/2003,2.494428970267748e-05
11/08/2003,2.527572885346885e-05
12/08/2003,2.5861065818810758e-05
13/08/2003,2.6417059666439258e-05
14/08/2003,2.5859713903786385e-05
15/08/2003,2.614224470920412e-05
18/08/2003,2.6698180284778772e-05
19/08/2003,2.6140863396806324e-05
20/08/2003,2.5573825776170622e-05
21/08/2003,2.6139511582368158e-05
22/08/2003,2.6421990829694764e-05
25/08/2003,2.6694683782135797e-05
26/08/2003,2.6967354952667222e-05
27/08/2003,2.697639117621442e-05
28/08/2003,2.7278322018098322e-05
29/08/2003,2.6994453464768142e-05
04/09/2003,2.6417728486549663e-05
05/09/2003,2.614368365483344e-05
08/09/2003,2.6133238044456775e-05
09/09/2003,2.6142316997157522e-05
10/09/2003,2.558522093010218e-05
10/09/2003,2.6970681726856682e-05
11/09/2003,2.4998209567916874e-05
12/09/2003,2.4997584673114304e-05
15/09/2003,2.5006720434150864e-05
16/09/2003,2.4723044076191414e-05
17/09/2003,2.443938882246144e-05
18/09/2003,2.444855145400382e-05
19/09/2003,2.4164923534186755e-05
20/09/2003,2.697505438908898e-05
22/09/2003,2.4163687787792654e-05
23/09/2003,2.4163103918173334e-05
24/09/2003,2.388927671548302e-05
25/09/2003,2.4171701323849604e-05
26/09/2003,2.388812861475742e-05
29/09/2003,2.2745873229368385e-05
30/09/2003,2.2169647588166086e-05
30/09/2003,2.6696659817471158e-05
01/10/2003,2.2744244425387805e-05
02/10/2003,2.358283504477754e-05
03/10/2003,2.3592035746311524e-05
06/10/2003,2.358172256688995e-05
